C9orf152	NM_001012993	hypothetical protein LOC401546
MLYCD	NM_012213	malonyl-CoA decarboxylase precursor
KIAA1751	NM_001080484	hypothetical protein LOC85452
LOC162632	NR_003190
UQCRH	NM_006004	ubiquinol-cytochrome c reductase hinge protein
OR6C3	NM_054104	olfactory receptor, family 6, subfamily C,
SDHA	NM_004168	succinate dehydrogenase complex, subunit A,
NCLN	NM_020170	nicalin
ZNF17	NM_006959	zinc finger protein 17
RCBTB2	NM_001268	regulator of chromosome condensation and BTB
ZNF280D	NM_001002844/NM_017661/NM_001002843	suppressor of hairy wing homolog 4 isoform 3/suppressor of hairy wing homolog 4 isoform 1/suppressor of hairy wing homolog 4 isoform 2
VEGFB	NM_003377	vascular endothelial growth factor B
COLQ	NM_080544/NM_005677/NM_080541/NM_080539/NM_080538	acetylcholinesterase collagen-like tail subunit
MGC23284	NR_024399/NR_024402
SNORD108	NR_001292
MPN2	NM_183062	marapsin 2
DRG2	NM_001388	developmentally regulated GTP binding protein 2
KLRB1	NM_002258	killer cell lectin-like receptor subfamily B,
ALPK2	NM_052947	heart alpha-kinase
DNASE2B	NM_021233/NM_058248	deoxyribonuclease II beta isoform 1 precursor/deoxyribonuclease II beta isoform 2
FLJ23834	NM_152750	hypothetical protein LOC222256
AXUD1	NM_033027	AXIN1 up-regulated 1
PAGE3	NM_001017931	P antigen family, member 3 (prostate
SAFB	NM_002967	scaffold attachment factor B
NSUN4	NM_199044	NOL1/NOP2/Sun domain family 4 protein
MAPK8IP1	NM_005456	mitogen-activated protein kinase 8 interacting
RFX2	NM_134433/NM_000635	regulatory factor X2 isoform b/regulatory factor X2 isoform a
LOC154761	NR_015421
FANCD2	NM_033084/NM_001018115	Fanconi anemia complementation group D2 isoform
ANKZF1	NM_018089/NM_001042410	ankyrin repeat and zinc finger domain containing
C19orf50	NM_024069	hypothetical protein LOC79036
DUSP8	NM_004420	dual specificity phosphatase 8
SENP5	NM_152699	SUMO1/sentrin specific peptidase 5
NFKBIL2	NM_013432	NF-kappa-B inhibitor-like protein 2
SNORA14B	NR_002956
LBR	NM_002296/NM_194442	lamin B receptor
IGFL1	NM_198541	IGF-like family member 1
LZTS2	NM_032429	leucine zipper, putative tumor suppressor 2
IL2RG	NM_000206	interleukin 2 receptor, gamma precursor
CCDC51	NM_024661	coiled-coil domain containing 51
KLF3	NM_016531	Kruppel-like factor 3 (basic)
FZR1	NM_016263/NM_001136197/NM_001136198	Fzr1 protein isoform 2/Fzr1 protein isoform 3/Fzr1 protein isoform 1
ANKRD37	NM_181726	ankyrin repeat domain 37
KCTD14	NM_023930	potassium channel tetramerisation domain
PRAGMIN	NM_001080826	pragmin
SLC44A4	NM_025257	choline transporter-like protein 4
ESPL1	NM_012291	extra spindle poles like 1
GMPR2	NM_001002000/NM_001002001/NM_016576/NM_001002002	guanosine monophosphate reductase 2 isoform 2/guanosine monophosphate reductase 2 isoform 1
TBC1D19	NM_018317	TBC1 domain family, member 19
ERGIC1	NM_001031711	endoplasmic reticulum-golgi intermediate
ERBB4	NM_001042599/NM_005235	v-erb-a erythroblastic leukemia viral oncogene
TSPAN32	NM_139022	tumor-suppressing subtransferable candidate 6
MAP4	NM_002375/NM_030885/NM_030884/NM_001134364/NM_001134365	microtubule-associated protein 4 isoform 1/microtubule-associated protein 4 isoform 3/microtubule-associated protein 4 isoform 2/microtubule-associated protein 4 isoform 4/microtubule-associated protein 4 isoform 5
OR2T33	NM_001004695	olfactory receptor, family 2, subfamily T,
GPHN	NM_020806/NM_001024218	gephyrin isoform 1/gephyrin isoform 2
SLC6A2	NM_001043	solute carrier family 6 member 2
SNORA56	NR_002984
HIVEP1	NM_002114	human immunodeficiency virus type I enhancer
DFFB	NM_004402	DNA fragmentation factor, 40 kD, beta
EIF4EBP2	NM_004096	eukaryotic translation initiation factor 4E
RAB9P1	NR_000039
DMRT1	NM_021951	doublesex and mab-3 related transcription factor
ANKRD34B	NM_001004441	ankyrin repeat domain 34B
HSPB6	NM_144617	heat shock protein, alpha-crystallin-related,
IER2	NM_004907	immediate early response 2
AIFM1	NM_145812/NM_145813/NM_004208/NM_001130846/NM_001130847	programmed cell death 8 isoform 2/programmed cell death 8 isoform 3/programmed cell death 8 isoform 1/programmed cell death 8 isoform 4/programmed cell death 8 isoform 5
WWC2	NM_024949	WW and C2 domain containing 2
ST7OT3	NR_002332
MRPL4	NM_015956/NM_146388/NM_146387	mitochondrial ribosomal protein L4 isoform a/mitochondrial ribosomal protein L4 isoform b
METTL11A	NM_014064	methyltransferase like 11A
EPB41L4A	NM_022140	erythrocyte protein band 4.1-like 4
SH2D6	NM_198482	SH2 domain containing 6
NUDT4P1	NR_002212
SNAR-A7	NR_024224
TAF4B	NM_005640	TAF4b RNA polymerase II, TATA box binding
OR51V1	NM_001004760	olfactory receptor, family 51, subfamily V,
GAL3ST3	NM_033036	galactose-3-O-sulfotransferase 3
MALT1	NM_173844/NM_006785	mucosa associated lymphoid tissue lymphoma
RTDR1	NM_014433	rhabdoid tumor deletion region protein 1
ARVCF	NM_001670	armadillo repeat protein
MEX3B	NM_032246	mex-3 homolog B
FBXO16	NM_172366	F-box only protein 16
KIF7	NM_198525	kinesin family member 7
C1QC	NM_172369/NM_001114101	complement component 1, q subcomponent, C chain
ZNF783	NM_001004302	zinc finger protein 783
ZNF85	NM_003429	zinc finger protein 85
MMP13	NM_002427	matrix metalloproteinase 13 preproprotein
KIAA0329	NM_014844	hypothetical protein LOC9895
GOLGA8E	NM_001012423	golgi autoantigen, golgin subfamily a, 8E
RTP3	NM_031440	transmembrane protein 7
FAM127C	NM_001078173	family with sequence similarity 127, member C
ZBED3	NM_032367	zinc finger, BED-type containing 3
CLGN	NM_004362/NM_001130675	calmegin
SLC25A37	NM_016612	solute carrier family 25, member 37
OR5AS1	NM_001001921	olfactory receptor, family 5, subfamily AS,
SMARCC2	NM_139067/NM_003075/NM_001130420	SWI/SNF-related matrix-associated
FAM109A	NM_144671	hypothetical protein LOC144717
CCDC12	NM_144716	coiled-coil domain containing 12
AMBRA1	NM_017749	activating molecule in beclin-1-regulated
USF2	NM_207291/NM_003367	upstream stimulatory factor 2 isoform 2/upstream stimulatory factor 2 isoform 1
DEPDC7	NM_001077242/NM_139160	novel 58.3 KDA protein isoform 1/novel 58.3 KDA protein isoform 2
C20orf24	NM_018840/NM_199483	RAB5-interacting protein isoform a/RAB5-interacting protein isoform b
JMJD3	NM_001080424	jumonji domain containing 3, histone lysine
DSP	NM_004415/NM_001008844	desmoplakin isoform I/desmoplakin isoform II
DGCR9	NR_024159
FAM20A	NM_017565	family with sequence similarity 20, member A
IRF2BP2	NM_182972/NM_001077397	interferon regulatory factor 2 binding protein 2
ZNF230	NM_006300	zinc finger protein 230
MSN	NM_002444	moesin
SLC9A5	NM_004594	solute carrier family 9 (sodium/hydrogen
MUSK	NM_005592	skeletal muscle receptor tyrosine kinase
EPDR1	NM_017549	ependymin related protein 1 precursor
ZNF434	NM_017810	zinc finger protein 434
SMARCD1	NM_003076/NM_139071	SWI/SNF-related matrix-associated
SH3RF3	NM_001099289	SH3 domain containing ring finger 3
ZNF347	NM_032584	zinc finger protein 347
ZFP106	NM_022473	zinc finger protein 106 homolog
FAM75A1	NM_001085452	hypothetical protein LOC647060
GTF2E1	NM_005513	general transcription factor IIE, polypeptide 1,
ATAD2B	NM_017552	ATPase family, AAA domain containing 2B
C4orf44	NM_001042690/NM_001012982	hypothetical protein LOC345222 isoform a/hypothetical protein LOC345222 isoform b
ARHGAP17	NM_001006634/NM_018054	nadrin isoform 1/nadrin isoform 2
KCNIP3	NM_001034914/NM_013434	Kv channel interacting protein 3 isoform 2/Kv channel interacting protein 3 isoform 1
SFPQ	NM_005066	splicing factor proline/glutamine rich
GFRA4	NM_022139/NM_145762	GDNF family receptor alpha 4 isoform a/GDNF family receptor alpha 4 isoform b
TIGD6	NM_030953	hypothetical protein LOC81789
AKR1B10	NM_020299	aldo-keto reductase family 1, member B10
LOC399940	NM_001136118	tripartite motif-containing-like
RGS16	NM_002928	regulator of G-protein signalling 16
URB1	NM_014825	nucleolar preribosomal-associated protein 1
TCEB3CL	NM_001100817	transcription elongation factor B polypeptide
OR4C46	NM_001004703	olfactory receptor, family 4, subfamily C,
RTL1	NM_001134888	retrotransposon-like 1
DKFZp686E2433	NM_001136116	hypothetical protein LOC345462
TOP3B	NM_003935	topoisomerase (DNA) III beta
NFATC4	NM_004554/NM_001136022	nuclear factor of activated T-cells,
GVIN1	NR_003945
LOC728323	NR_024437
CA14	NM_012113	carbonic anhydrase XIV precursor
BMPR1A	NM_004329	bone morphogenetic protein receptor, type IA
PRL	NM_000948	prolactin
C6orf130	NM_145063	hypothetical protein LOC221443
LOC644672	NM_001101389	claudin-like
STAG2	NM_001042749/NM_001042750/NM_006603/NM_001042751	stromal antigen 2 isoform a/stromal antigen 2 isoform b
SCARNA9	NR_002569
SNORD42B	NR_000013
CD55	NM_000574/NM_001114752	decay accelerating factor for complement isoform
RPS23	NM_001025	ribosomal protein S23
SNORD15A	NR_000005
SSX2	NM_175698/NM_003147	synovial sarcoma, X breakpoint 2 isoform b/synovial sarcoma, X breakpoint 2 isoform a
FBXO27	NM_178820	F-box protein 27
FDPSL2A	NR_003262
LOC100169752	NR_023362
SYNGR3	NM_004209	synaptogyrin 3
C6orf103	NM_024694	hypothetical protein LOC79747
TMSL3	NM_183049	thymosin-like 3
EML1	NM_001008707/NM_004434	echinoderm microtubule associated protein like 1
SMAD3	NM_005902	mothers against decapentaplegic homolog 3
NUP93	NM_014669	nucleoporin 93kDa
TBC1D12	NM_015188	TBC1 domain family, member 12
MRVI1	NM_001098579/NM_130385/NM_001100167/NM_001100163	JAW1-related protein isoform a/JAW1-related protein isoform b/JAW1-related protein isoform c
ZNF581	NM_016535	zinc finger protein 581
ELOVL3	NM_152310	elongation of very long chain fatty acids like
OR51Q1	NM_001004757	olfactory receptor, family 51, subfamily Q,
CACNB3	NM_000725	calcium channel, voltage-dependent, beta 3
OR9G9	NM_001013358	olfactory receptor, family 9, subfamily G,
C10orf84	NM_022063/NM_001134672	hypothetical protein LOC63877
GALNT13	NM_052917	UDP-N-acetyl-alpha-D-galactosamine:polypeptide
NEDD4	NM_006154/NM_198400	neural precursor cell expressed, developmentally
SPO11	NM_198265/NM_012444	meiotic recombination protein SPO11 isoform b/meiotic recombination protein SPO11 isoform a
OR5AU1	NM_001004731	olfactory receptor, family 5, subfamily AU,
NEK4	NM_003157	NIMA (never in mitosis gene a)-related kinase 4
PRKAR2A	NM_004157	cAMP-dependent protein kinase, regulatory
IHPK1	NM_001006115/NM_153273	inositol hexaphosphate kinase 1 isoform 2/inositol hexaphosphate kinase 1 isoform 1
ATP6V0B	NM_004047/NM_001039457	ATPase, H+ transporting, lysosomal 21kDa, V0
CACNA1E	NM_000721	calcium channel, voltage-dependent, R type,
CEACAM8	NM_001816	carcinoembryonic antigen-related cell adhesion
SKP1	NM_006930/NM_170679	S-phase kinase-associated protein 1 isoform a/S-phase kinase-associated protein 1 isoform b
PEX14	NM_004565	peroxisomal biogenesis factor 14
FLJ12993	NM_001080506	hypothetical protein LOC441027
ZBTB38	NM_001080412	zinc finger and BTB domain containing 38
PCTK2	NM_002595	PCTAIRE protein kinase 2
FYCO1	NM_024513	FYVE and coiled-coil domain containing 1
FBLIM1	NM_001024215/NM_017556/NM_001024216	filamin-binding LIM protein-1 isoform b/filamin-binding LIM protein-1 isoform a/filamin-binding LIM protein-1 isoform c
RP5-1022P6.2	NM_019593	hypothetical protein LOC56261
CMTM1	NM_052999/NM_181283/NM_181296/NM_181272/NM_181271/NM_181269/NM_181268/NM_181270	chemokine-like factor superfamily 1 isoform 13/chemokine-like factor superfamily 1 isoform 5/chemokine-like factor superfamily 1 isoform 12/chemokine-like factor superfamily 1 isoform 4/chemokine-like factor superfamily 1 isoform 3/chemokine-like factor superfamily 1 isoform 1/chemokine-like factor superfamily 1 isoform 14/chemokine-like factor superfamily 1 isoform 2
PLTP	NM_182676/NM_006227	phospholipid transfer protein isoform b/phospholipid transfer protein isoform a
RAPH1	NM_213589/NM_203365	Ras association and pleckstrin homology domains
C20orf201	NM_001007125	hypothetical protein LOC198437
MINK1	NM_001024937/NM_170663/NM_015716/NM_153827	misshapen/NIK-related kinase isoform 4/misshapen/NIK-related kinase isoform 2/misshapen/NIK-related kinase isoform 1/misshapen/NIK-related kinase isoform 3
DOCK8	NM_203447	dedicator of cytokinesis 8
SLC25A1	NM_005984	solute carrier family 25 (mitochondrial carrier;
EZH2	NM_004456/NM_152998	enhancer of zeste 2 isoform a/enhancer of zeste 2 isoform b
PLEKHB1	NM_001130034/NM_001130036/NM_001130035/NM_021200/NM_001130033	pleckstrin homology domain containing, family B
GRB7	NM_001030002/NM_005310	growth factor receptor-bound protein 7
ZFP37	NM_003408	zinc finger protein 37 homolog
MRPL33	NM_145330/NM_004891	mitochondrial ribosomal protein L33 isoform b/mitochondrial ribosomal protein L33 isoform a
C9orf27	NR_024032
SNORA21	NR_002576
PELO	NM_015946	pelota homolog
ARMC1	NM_018120	armadillo repeat-containing protein
RNASEK	NM_001004333	RNase K
FLJ25778	NM_173569	hypothetical protein LOC254048
LOC729085	NM_001129908	hypothetical protein LOC729085
C9orf37	NM_032937	chromosome 9 open reading frame 37
TMEM66	NM_016127	transmembrane protein 66
LOC388199	NM_001013638	hypothetical protein LOC388199
SPRN	NM_001012508	shadow of prion protein
HBEGF	NM_001945	heparin-binding EGF-like growth factor
PI4KA	NM_058004/NM_002650	phosphatidylinositol 4-kinase type 3 alpha
MT1IP	NR_003669
LEPRE1	NM_022356	leprecan 1
POU2AF1	NM_006235	POU class 2 associating factor 1
MRPL12	NM_002949	mitochondrial ribosomal protein L12
REP15	NM_001029874	Rab15 effector protein
ZC3H3	NM_015117	zinc finger CCCH-type containing 3
RASAL1	NM_004658	RAS protein activator like 1
DDAH1	NM_012137/NM_001134445	dimethylarginine dimethylaminohydrolase 1
ACBD5	NM_001042473/NM_145698/NR_024150	acyl-Coenzyme A binding domain containing 5
TMC2	NM_080751	transmembrane cochlear-expressed protein 2
UGT2B15	NM_001076	UDP glycosyltransferase 2 family, polypeptide
SAMD13	NM_001010971/NM_001134663/NM_001134664	sterile alpha motif domain containing 13 isoform
TIPARP	NM_015508	TCDD-inducible poly(ADP-ribose) polymerase
CCDC137	NM_199287	coiled-coil domain containing 137
DNASE1L3	NM_004944	deoxyribonuclease I-like 3 precursor
DHRS7C	NM_001105571	dehydrogenase/reductase (SDR family) member 7C
TRIM72	NM_001008274	tripartite motif-containing 72
DBX2	NM_001004329	developing brain homeobox 2
IPO8	NM_006390	importin 8
MAP3K14	NM_003954	mitogen-activated protein kinase kinase kinase
LOC643955	NR_003952
PAR4	NR_022010
LOC51233	NM_016449	hypothetical protein LOC51233
PIBF1	NM_006346	progesterone-induced blocking factor 1
CCNI2	NM_001039780	cyclin I family, member 2
PDE6D	NM_002601	phosphodiesterase 6D, cGMP-specific, rod, delta
ZNF117	NM_015852	zinc finger protein 117
NKRF	NM_017544	transcription factor NRF
CLK2	NM_003993	CDC-like kinase 2
DUSP2	NM_004418	dual specificity phosphatase 2
TNFSF15	NM_005118	tumor necrosis factor (ligand) superfamily,
SECISBP2	NM_024077	SECIS binding protein 2
PPAP2C	NM_177526/NM_003712/NM_177543	phosphatidic acid phosphatase type 2C isoform 2/phosphatidic acid phosphatase type 2C isoform 1/phosphatidic acid phosphatase type 2C isoform 3
GABRR2	NM_002043	gamma-aminobutyric acid (GABA) receptor, rho 2
GNG10	NM_001017998	guanine nucleotide binding protein (G protein),
PAG1	NM_018440	phosphoprotein associated with glycosphingolipid
PIK3C3	NM_002647	phosphoinositide-3-kinase, class 3
APOL4	NM_030643/NM_145660	apolipoprotein L4 isoform 1/apolipoprotein L4 isoform 2 precursor
SNORA40	NR_002973
ANKRD28	NM_015199	ankyrin repeat domain 28
STMN3	NM_015894	SCG10-like-protein
RAB14	NM_016322	GTPase Rab14
CDK2AP2	NM_005851	cyclin-dependent kinase 2 associated protein 2
HDDC3	NM_198527	HD domain containing 3
COMMD7	NM_001099339/NM_053041	COMM domain containing 7 isoform 2/COMM domain containing 7 isoform 1
CXXC1	NM_014593/NM_001101654	CXXC finger 1 (PHD domain) isoform 2/CXXC finger 1 (PHD domain) isoform 1
HMCN1	NM_031935	hemicentin 1
CD40	NM_152854/NM_001250	CD40 antigen isoform 2 precursor/CD40 antigen isoform 1 precursor
DYNC1LI2	NM_006141	dynein, cytoplasmic, light intermediate
EFCAB7	NM_032437	EF-hand calcium binding domain 7
GDI1	NM_001493	GDP dissociation inhibitor 1
VSNL1	NM_003385	visinin-like 1
GOLGA9P	NR_024074
HEPN1	NM_001037558	HEPACAM opposite strand 1
PIH1D1	NM_017916	NOP17
LOC645441	NM_001093734	hypothetical protein LOC645441
RAET1G	NM_001001788	retinoic acid early transcript 1G
KRTAP5-9	NM_005553	keratin associated protein 5-9
EFTUD2	NM_004247	elongation factor Tu GTP binding domain
HSPB11	NM_016126	heat shock protein family B (small), member 11
ZNF311	NM_001010877	zinc finger protein 311
OR2W3	NM_001001957	olfactory receptor, family 2, subfamily W,
MED10	NM_032286	mediator complex subunit 10
SCN4A	NM_000334	voltage-gated sodium channel type 4 alpha
ATP6V1G3	NM_133326/NM_133262	ATPase, H+ transporting, lysosomal, V1 subunit
ARHGAP4	NM_001666	Rho GTPase activating protein 4
FAM135A	NM_001105531/NM_020819	hypothetical protein LOC57579 isoform a/hypothetical protein LOC57579 isoform b
EHMT2	NM_006709/NM_025256	euchromatic histone-lysine N-methyltransferase 2
UFD1L	NM_001035247/NM_005659	ubiquitin fusion degradation 1-like isoform B/ubiquitin fusion degradation 1-like isoform A
WTIP	NM_001080436	Wilms tumor 1 interacting protein
ERMP1	NM_024896	aminopeptidase Fxna
THAP8	NM_152658	THAP domain containing 8
HACE1	NM_020771	HECT domain and ankyrin repeat containing, E3
UNC84A	NM_025154/NM_001130965	unc-84 homolog A isoform b/unc-84 homolog A isoform a
C3orf20	NM_032137	hypothetical protein LOC84077
SCD5	NM_001037582/NM_024906	stearoyl-CoA desaturase 5 isoform a/stearoyl-CoA desaturase 5 isoform b
LASS6	NM_203463	longevity assurance homolog 6
LSG1	NM_018385	large subunit GTPase 1 homolog
MAL	NM_002371/NM_022440/NM_022439/NM_022438	T-lymphocyte maturation-associated protein
GPR22	NM_005295	G protein-coupled receptor 22
WDR5B	NM_019069	WD repeat domain 5B
ACTRT1	NM_138289	actin-related protein T1
C17orf60	NM_001085423	hypothetical protein LOC284021
RD3	NM_183059	retinal degeneration 3
ARMC8	NM_015396/NM_213654/NM_014154	armadillo repeat containing 8 isoform 2/armadillo repeat containing 8 isoform 3/armadillo repeat containing 8 isoform 1
GRIN2C	NM_000835	N-methyl-D-aspartate receptor subunit 2C
SLC47A1	NM_018242	solute carrier family 47, member 1
DEFB105B	NM_001040703	defensin, beta 105B precursor
DMPK	NM_001081563/NM_004409/NM_001081560/NM_001081562	myotonic dystrophy protein kinase isoform 1/myotonic dystrophy protein kinase isoform 2/myotonic dystrophy protein kinase isoform 3/myotonic dystrophy protein kinase isoform 4
DHRS13	NM_144683	dehydrogenase/reductase (SDR family) member 13
SMC1A	NM_006306	structural maintenance of chromosomes 1A
KRTAP17-1	NM_031964	keratin associated protein 17-1
MBL1P1	NR_002724
SMYD5	NM_006062	SMYD family member 5
CCDC155	NM_144688	coiled-coil domain containing 155
CRHR2	NM_001883	corticotropin releasing hormone receptor 2
TUSC2	NM_007275	tumor suppressor candidate 2
LOC415056	NR_024369
SLC22A20	NM_001004326	solute carrier family 22, member 20
KIR3DL2	NM_006737	killer cell immunoglobulin-like receptor, three
GAGE12J	NM_001098406	G antigen 12J
CCDC104	NM_080667	coiled-coil domain containing 104
ATP2C1	NM_001001487/NM_001001486/NM_001001485/NM_014382	calcium-transporting ATPase 2C1 isoform 1b/calcium-transporting ATPase 2C1 isoform 1d/calcium-transporting ATPase 2C1 isoform 1c/calcium-transporting ATPase 2C1 isoform 1a
KRTAP10-1	NM_198691	keratin associated protein 10-1
CROT	NM_021151	carnitine O-octanoyltransferase
