NM_000367	TPMT	thiopurine S-methyltransferase
NM_006704	SUGT1	suppressor of G2 allele of SKP1
NM_023914	P2RY13	purinergic receptor P2Y, G-protein coupled, 13
NM_023005	BAZ1B	bromodomain adjacent to zinc finger domain, 1B
NM_023008	FLJ12949	hypothetical protein LOC65095 isoform 1
NM_023010	UPF3B	UPF3 regulator of nonsense transcripts homolog B
NM_080704	TRPV1	transient receptor potential cation channel,
NM_080705	TRPV1	transient receptor potential cation channel,
NM_016504	MRPL27	mitochondrial ribosomal protein L27 isoform a
NM_000706	AVPR1A	arginine vasopressin receptor 1A
NM_000707	AVPR1B	arginine vasopressin receptor 1B
NM_022965	FGFR3	fibroblast growth factor receptor 3 isoform 2
NM_022969	FGFR2	fibroblast growth factor receptor 2 isoform 2
NM_022970	FGFR2	fibroblast growth factor receptor 2 isoform 3
NM_022971	FGFR2	fibroblast growth factor receptor 2 isoform 4
NM_022972	FGFR2	fibroblast growth factor receptor 2 isoform 5
NM_022973	FGFR2	fibroblast growth factor receptor 2 isoform 6
NM_022974	FGFR2	fibroblast growth factor receptor 2 isoform 7
NM_022975	FGFR2	fibroblast growth factor receptor 2 isoform 8
NM_022976	FGFR2	fibroblast growth factor receptor 2 isoform 9
NM_022911	SLC26A6	solute carrier family 26, member 6 isoform a
NM_022915	MRPL44	mitochondrial ribosomal protein L44
NM_080706	TRPV1	transient receptor potential cation channel,
NM_000638	VTN	vitronectin precursor
NM_000192	TBX5	T-box 5 isoform 1
NM_080717	TBX5	T-box 5 isoform 3
NM_080718	TBX5	T-box 5 isoform 2
NM_012208	HARSL	histidyl-tRNA synthetase-like
NM_080730	HOM-TES-103	hypothetical protein LOC25900 isoform 2
NM_080731	HOM-TES-103	hypothetical protein LOC25900 isoform 3
NM_016548	GOLPH2	golgi phosphoprotein 2
NM_016558	SCAND1	SCAN domain containing protein 1
NM_022843	PCDH20	protocadherin 20
NM_022844	MYH11	smooth muscle myosin heavy chain 11 isoform SM2
NM_022872	G1P3	interferon induced 6-16 protein isoform b
NM_022873	G1P3	interferon induced 6-16 protein isoform c
NM_002038	G1P3	interferon induced 6-16 protein isoform a
NM_022893	BCL11A	B-cell CLL/lymphoma 11A isoform 1
NM_022894	PAPOLG	poly(A) polymerase gamma
NM_022898	BCL11B	B-cell CLL/lymphoma 11B isoform 2
NM_016593	CYP39A1	cytochrome P450, family 39, subfamily A,
NM_016601	KCNK9	potassium channel, subfamily K, member 9
NM_080732	EGLN2	EGL nine (C.elegans) homolog 2 isoform 3
NM_080733	WFDC2	WAP four-disulfide core domain 2 isoform 3
NM_080734	WFDC2	WAP four-disulfide core domain 2 isoform 4
NM_080735	WFDC2	WAP four-disulfide core domain 2 isoform 5
NM_080736	WFDC2	WAP four-disulfide core domain 2 isoform 2
NM_080738	EDARADD	EDAR-associated death domain isoform B
NM_022818	MAP1LC3B	microtubule-associated proteins 1A/1B light
NM_022820	CYP3A43	cytochrome P450, family 3, subfamily A,
NM_080746	RPL10L	ribosomal protein L10-like protein
NM_080751	TMC2	transmembrane cochlear-expressed protein 2
NM_080753	WFDC10A	WAP four-disulfide core domain 10A precursor
NM_016622	MRPL35	mitochondrial ribosomal protein L35 isoform a
NM_016640	MRPS30	mitochondrial ribosomal protein S30
NM_022804	SNURF	SNRPN upstream reading frame protein
NM_022805	SNRPN	small nuclear ribonucleoprotein polypeptide N
NM_022806	SNRPN	small nuclear ribonucleoprotein polypeptide N
NM_022807	SNRPN	small nuclear ribonucleoprotein polypeptide N
NM_022808	SNRPN	small nuclear ribonucleoprotein polypeptide N
NM_022809	CDC25C	cell division cycle 25C protein isoform b
NM_022810	SLC25A14	solute carrier family 25, member 14 isoform
NM_022817	PER2	period 2 isoform 1
NM_080758	TBX6	T-box 6 isoform 2
NM_080764	SUHW2	suppressor of hairy wing homolog 2
NM_015855	WIT-1	Wilms tumor associated protein
NM_006690	MMP24	matrix metalloproteinase 24 (membrane-inserted)
NM_003883	HDAC3	histone deacetylase 3
NM_005678	SNURF	SNRPN upstream reading frame protein
NM_004092	ECHS1	mitochondrial short-chain enoyl-coenzyme A
NM_022735	ACBD3	acyl-Coenzyme A binding domain containing 3
NM_022789	IL17E	interleukin 17E isoform 1 precursor
NM_022802	CTBP2	C-terminal binding protein 2 isoform 2
NM_003356	UCP3	uncoupling protein 3 isoform UCP3L
NM_022803	UCP3	uncoupling protein 3 isoform UCP3S
NM_017717	MUCDHL	mu-protocadherin isoform 2
NM_015866	PRDM2	retinoblastoma protein-binding zinc finger
NM_022661	SPANXC	sperm protein associated with the nucleus, X
NM_004942	DEFB4	defensin, beta 4 precursor
NM_018661	DEFB103A	defensin, beta 103A precursor
NM_022664	ECM1	extracellular matrix protein 1 isoform 2
NM_006506	RASA2	RAS p21 protein activator 2
NM_022716	PRRX1	paired mesoderm homeobox 1 isoform pmx-1b
NM_022717	U1SNRNPBP	U11/U12 snRNP 35K isoform a
NM_080792	PTPNS1	protein tyrosine phosphatase, non-receptor type
NM_080789	ACPT	testicular acid phosphatase isoform b precursor
NM_080790	ACPT	testicular acid phosphatase isoform b precursor
NM_080791	ACPT	testicular acid phosphatase isoform c precursor
NM_005203	COL13A1	alpha 1 type XIII collagen isoform 1
NM_015969	MRPS17	mitochondrial ribosomal protein S17
NM_018953	HOXC5	homeo box C5
NM_015976	SNX7	sorting nexin 7 isoform a
NM_015979	CRSP3	cofactor required for Sp1 transcriptional
NM_022579	CSHL1	chorionic somatomammotropin hormone-like 1
NM_022580	CSHL1	chorionic somatomammotropin hormone-like 1
NM_022581	CSHL1	chorionic somatomammotropin hormone-like 1
NM_022640	CSH1	chorionic somatomammotropin hormone 1 isoform 2
NM_022641	CSH1	chorionic somatomammotropin hormone 1 isoform 3
NM_022644	CSH2	chorionic somatomammotropin hormone 2 isoform 2
NM_022645	CSH2	chorionic somatomammotropin hormone 2 isoform 3
NM_022648	TNS1	tensin
NM_015507	EGFL6	epidermal growth factor-like protein 6
NM_015985	ANGPT4	angiopoietin 4
NM_015994	ATP6V1D	H(+)-transporting two-sector ATPase
NM_004084	DEFA1	defensin, alpha 1 preproprotein
NM_002597	PDC	phosducin isoform a
NM_080796	DATF1	death associated transcription factor 1 isoform
NM_080797	DATF1	death associated transcription factor 1 isoform
NM_080798	COL13A1	alpha 1 type XIII collagen isoform 2
NM_080799	COL13A1	alpha 1 type XIII collagen isoform 3
NM_016087	WNT16	wingless-type MMTV integration site family,
NM_016112	PKD2L1	polycystic kidney disease 2-like 1
NM_022568	ALDH8A1	aldehyde dehydrogenase 8A1 isoform 1
NM_080800	COL13A1	alpha 1 type XIII collagen isoform 4
NM_080801	COL13A1	alpha 1 type XIII collagen isoform 5
NM_016152	RARB	retinoic acid receptor, beta isoform 2
NM_016155	MMP17	matrix metalloproteinase 17 preproprotein
NM_005103	FEZ1	zygin 1 isoform 1
NM_022550	XRCC4	X-ray repair cross complementing protein 4
NM_012394	PFDN2	prefoldin 2
NM_002623	PFDN4	prefoldin 4
NM_022556	GH2	growth hormone 2 isoform 4
NM_022557	GH2	growth hormone 2 isoform 2
NM_022558	GH2	growth hormone 2 isoform 3
NM_022559	GH1	growth hormone 1 isoform 2
NM_022560	GH1	growth hormone 1 isoform 3
NM_022561	GH1	growth hormone 1 isoform 4
NM_022562	GH1	growth hormone 1 isoform 5
NM_022564	MMP16	matrix metalloproteinase 16 isoform 2
NM_022576	PDC	phosducin isoform b
NM_016166	PIAS1	protein inhibitor of activated STAT, 1
NM_016188	ACTL6B	actin-like 6B
NM_022475	HHIP	hedgehog-interacting protein
NM_022479	WBSCR17	UDP-GalNAc:polypeptide
NM_005186	CAPN1	calpain 1, large subunit
NM_022549	FEZ1	zygin 1 isoform 2
NM_080802	COL13A1	alpha 1 type XIII collagen isoform 6
NM_080803	COL13A1	alpha 1 type XIII collagen isoform 7
NM_016201	AMOTL2	angiomotin like 2
NM_016204	GDF2	growth differentiation factor 2
NM_022454	SOX17	SRY-box 17
NM_022460	HS1BP3	HS1-binding protein 3
NM_022462	HIF3A	hypoxia-inducible factor-3 alpha isoform b
NM_080804	COL13A1	alpha 1 type XIII collagen isoform 8
NM_080805	COL13A1	alpha 1 type XIII collagen isoform 9
NM_016318	P2RX2	purinergic receptor P2X2 isoform C
NM_022439	MAL	T-lymphocyte maturation-associated protein
NM_022440	MAL	T-lymphocyte maturation-associated protein
NM_033631	LUZP1	leucine zipper protein 1
NM_016320	NUP98	nucleoporin 98kD isoform 1
NM_016328	GTF2IRD1	GTF2I repeat domain containing 1 isoform 1
NM_022437	ABCG8	sterolin 2
NM_022438	MAL	T-lymphocyte maturation-associated protein
NM_080806	COL13A1	alpha 1 type XIII collagen isoform 10
NM_080807	COL13A1	alpha 1 type XIII collagen isoform 11
NM_080808	COL13A1	alpha 1 type XIII collagen isoform 12
NM_080809	COL13A1	alpha 1 type XIII collagen isoform 13
NM_016335	PRODH	proline dehydrogenase (oxidase) 1
NM_016347	CML2	putative N-acetyltransferase Camello 2
NM_022307	ICA1	islet cell autoantigen 1 isoform 1
NM_022308	ICA1	islet cell autoantigen 1 isoform 3
NM_022349	MS4A6A	membrane-spanning 4-domains, subfamily A, member
NM_001001417	TBC1D3B	TBC1 domain family, member 3B
NM_022358	KCNK15	potassium family, subfamily K, member 15
NM_022363	LHX5	LIM homeobox protein 5
NM_022377	ICAM4	intercellular adhesion molecule 4 isoform 2
NM_003259	ICAM5	intercellular adhesion molecule 5 precursor
NM_022406	XRCC4	X-ray repair cross complementing protein 4
NM_016366	CABP2	calcium binding protein 2 isoform 1
NM_022167	XYLT2	xylosyltransferase II
NM_022168	IFIH1	melanoma differentiation associated protein-5
NM_022172	PC	pyruvate carboxylase precursor
NM_022173	TIA1	TIA1 protein isoform 2
NM_016378	VCX2	variable charge, X-linked 2
NM_022142	ELSPBP1	epididymal sperm binding protein 1
NM_022161	BIRC7	livin inhibitor of apoptosis isoform beta
NM_080810	COL13A1	alpha 1 type XIII collagen isoform 14
NM_080811	COL13A1	alpha 1 type XIII collagen isoform 15
NM_016381	TREX1	three prime repair exonuclease 1 isoform a
NM_016408	CDK5RAP1	CDK5 regulatory subunit associated protein 1
NM_022135	POPDC2	popeye protein 2
NM_022139	GFRA4	GDNF family receptor alpha 4 isoform a
NM_080812	COL13A1	alpha 1 type XIII collagen isoform 16
NM_080813	COL13A1	alpha 1 type XIII collagen isoform 17
NM_022053	NXF2	nuclear RNA export factor 2
NM_022054	KCNK13	potassium channel, subfamily K, member 13
NM_022055	KCNK12	potassium channel, subfamily K, member 12
NM_022061	MRPL17	mitochondrial ribosomal protein L17
NM_022075	LASS2	LAG1 longevity assurance homolog 2 isoform 1
NM_022100	MRPS14	mitochondrial ribosomal protein S14
NM_022105	DATF1	death associated transcription factor 1 isoform
NM_022111	CLSPN	claspin
NM_022119	PRSS22	protease, serine, 22
NM_022122	MMP27	matrix metalloproteinase 27
NM_022124	CDH23	cadherin related 23 isoform 1 precursor
NM_022133	SNX16	sorting nexin 16 isoform a
NM_016527	HAO2	hydroxyacid oxidase 2
NM_016538	SIRT7	sirtuin 7
NM_022170	WBSCR1	eukaryotic translation initiation factor 4H
NM_022003	FXYD6	FXYD domain-containing ion transport regulator
NM_022006	FXYD7	FXYD domain-containing ion transport regulator
NM_022037	TIA1	TIA1 protein isoform 1
NM_022041	GAN	gigaxonin
NM_022050	SCAND2	SCAN domain-containing protein 2 isoform 1
NM_022052	NXF3	nuclear RNA export factor 3
NM_080814	COL13A1	alpha 1 type XIII collagen isoform 18
NM_016539	SIRT6	sirtuin 6
NM_016553	NUP62	nucleoporin 62kDa
NM_001655	ARCN1	archain
NM_021910	FXYD3	FXYD domain containing ion transport regulator 3
NM_021911	GABRB2	gamma-aminobutyric acid (GABA) A receptor, beta
NM_021912	GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta
NM_021913	AXL	AXL receptor tyrosine kinase isoform 1
NM_021971	GMPPB	GDP-mannose pyrophosphorylase B isoform 2
NM_021984	GABRE	gamma-aminobutyric acid (GABA) A receptor,
NM_021987	GABRE	gamma-aminobutyric acid (GABA) A receptor,
NM_021990	GABRE	gamma-aminobutyric acid (GABA) A receptor,
NM_021991	JUP	junction plakoglobin
NM_021995	UTS2	urotensin 2 preproprotein, isoform a
NM_003355	UCP2	uncoupling protein 2
NM_016557	CCRL1	chemokine (C-C motif) receptor-like 1
NM_021923	FGFRL1	fibroblast growth factor receptor-like 1
NM_021924	MUCDHL	mu-protocadherin isoform 1
NM_021931	DHX35	DEAH (Asp-Glu-Ala-His) box polypeptide 35
NM_018412	ST7	suppression of tumorigenicity 7 isoform a
NM_021908	ST7	suppression of tumorigenicity 7 isoform b
NM_016584	IL23A	interleukin 23, alpha subunit p19 precursor
NM_016596	HDAC7A	histone deacetylase 7A isoform b
NM_003894	PER2	period 2 isoform 2
NM_021870	FGG	fibrinogen, gamma chain isoform gamma-B
NM_021871	FGA	fibrinogen, alpha chain isoform alpha
NM_005208	CRYBA1	crystallin, beta A3
NM_015937	PIGT	phosphatidylinositol glycan, class T
NM_015967	PTPN22	protein tyrosine phosphatase, non-receptor type
NM_015981	CAMK2A	calcium/calmodulin-dependent protein kinase IIA
NM_021801	MMP26	matrix metalloproteinase 26 preproprotein
NM_021804	ACE2	angiotensin I converting enzyme 2 precursor
NM_021818	SAV1	WW45 protein
NM_021821	MRPS35	mitochondrial ribosomal protein S35
NM_021822	APOBEC3G	apolipoprotein B mRNA editing enzyme, catalytic
NM_001844	COL2A1	alpha 1 type II collagen isoform 1
NM_080815	COL13A1	alpha 1 type XIII collagen isoform 19
NM_080816	SIRPB2	signal-regulatory protein beta 2 isoform 2
NM_016071	MRPS33	mitochondrial ribosomal protein S33
NM_021920	SCT	secretin preproprotein
NM_021798	IL21R	interleukin 21 receptor precursor
NM_016105	FKBP7	FK506-binding protein 7 isoform 1 precursor
NM_016116	ASB4	ankyrin repeat and SOCS box-containing protein 4
NM_021733	TSKS	testis-specific kinase substrate
NM_021735	CLCN6	chloride channel 6 isoform ClC-6b
NM_021736	CLCN6	chloride channel 6 isoform ClC-6c
NM_021737	CLCN6	chloride channel 6 isoform ClC-6d
NM_005387	NUP98	nucleoporin 98kD isoform 3
NM_021738	SVIL	supervillin isoform 2
NM_021777	ADAM28	a disintegrin and metalloproteinase domain 28
NM_020737	LRFN2	leucine rich repeat and fibronectin type III
NM_021794	ADAM30	a disintegrin and metalloproteinase domain 30
NM_005229	ELK1	ELK1 protein
NM_016178	OAZ3	ornithine decarboxylase antizyme 3
NM_016226	VPS29	vacuolar protein sorting 29 isoform 1
NM_001464	ADAM2	a disintegrin and metalloproteinase domain 2
NM_021705	NFYA	nuclear transcription factor Y, alpha isoform 2
NM_003814	ADAM20	a disintegrin and metalloproteinase domain 20
NM_021706	LAIR1	leukocyte-associated Ig-like receptor 1 isoform
NM_021708	LAIR1	leukocyte-associated Ig-like receptor 1 isoform
NM_021709	SIVA	CD27-binding (Siva) protein isoform 2
NM_002910	RENBP	renin binding protein
NM_016235	GPRC5B	G protein-coupled receptor, family C, group 5,
NM_021575	AP2S1	adaptor-related protein complex 2, sigma 1
NM_000672	ADH6	class V alcohol dehydrogenase 6
NM_004219	PTTG1	pituitary tumor-transforming protein 1
NM_021599	ADAMTS2	a disintegrin and metalloprotease with
NM_002356	MARCKS	myristoylated alanine-rich protein kinase C
NM_021601	CD79A	CD79A antigen isoform 2 precursor
NM_021602	CD79B	CD79B antigen isoform 2 precursor
NM_021614	KCNN2	small conductance calcium-activated potassium
NM_021624	HRH4	histamine H4 receptor
NM_021641	ADAM12	a disintegrin and metalloprotease domain 12
NM_016248	AKAP11	A-kinase anchor protein 11 isoform 1
NM_016285	KLF12	Kruppel-like factor 12 isoform b
NM_021570	BARX1	BarH-like homeobox 1
NM_001492	GDF1	growth differentiation factor 1
NM_021569	GRIN1	NMDA receptor 1 isoform NR1-2 precursor
NM_006988	ADAMTS1	a disintegrin and metalloprotease with
NM_004327	BCR	breakpoint cluster region isoform 1
NM_021574	BCR	breakpoint cluster region isoform 2
NM_016310	POLR3K	DNA directed RNA polymerase III polypeptide K
NM_016324	ZNF274	zinc finger protein 274 isoform b
NM_021258	IL22RA1	interleukin 22 receptor, alpha 1
NM_021267	LASS1	longevity assurance gene 1 isoform 1
NM_021260	ZFYVE1	zinc finger, FYVE domain containing 1 isoform 1
NM_080827	WFDC6	WAP four-disulfide core domain 6 precursor
NM_080831	DEFB129	beta defensin 129 precursor
NM_080838	WISP1	WNT1 inducible signaling pathway protein 1
NM_016325	ZNF274	zinc finger protein 274 isoform a
NM_016346	NR2E3	photoreceptor-specific nuclear receptor isoform
NM_021055	TSC2	tuberous sclerosis 2 isoform 2
NM_021056	TSC2	tuberous sclerosis 2 isoform 3
NM_021192	HOXD11	homeo box D11
NM_021193	HOXD12	homeo box D12
NM_021197	WFDC1	WAP four-disulfide core domain 1 precursor
NM_021232	PRODH2	kidney and liver proline oxidase 1
NM_021248	CDH22	cadherin 22 precursor
NM_021250	LILRA5	leukocyte immunoglobulin-like receptor subfamily
NM_006454	MXD4	MAD4
NM_019074	DLL4	delta-like 4 protein precursor
NM_021251	CAPN10	calpain 10 isoform h
NM_016373	WWOX	WW domain-containing oxidoreductase isoform 1
NM_016377	AKAP7	A-kinase anchor protein 7 isoform gamma
NM_021187	CYP4F11	cytochrome P450, family 4, subfamily F,
NM_000548	TSC2	tuberous sclerosis 2 isoform 1
NM_016413	CPB2	plasma carboxypeptidase B2 isoform b
NM_016431	MAPK8IP2	mitogen-activated protein kinase 8 interacting
NM_016232	IL1RL1	interleukin 1 receptor-like 1 isoform 1
NM_080840	PTPRA	protein tyrosine phosphatase, receptor type, A
NM_080841	PTPRA	protein tyrosine phosphatase, receptor type, A
NM_016150	ASB2	ankyrin repeat and SOCS box-containing protein
NM_080920	GGTLA4	gamma-glutamyltransferase-like activity 4
NM_080863	ASB16	ankyrin repeat and SOCS box-containing protein
NM_080864	RLN3	relaxin 3 preproprotein
NM_080869	WFDC12	WAP four-disulfide core domain 12 precursor
NM_080871	ASB10	ankyrin repeat and SOCS box-containing protein
NM_016434	RTEL1	regulator of telomere elongation helicase 1
NM_016512	SPAG11	
NM_080873	ASB11	ankyrin repeat and SOCS box-containing protein
NM_080881	DBN1	drebrin 1 isoform b
NM_001671	ASGR1	asialoglycoprotein receptor 1
NM_080911	UNG	uracil-DNA glycosylase isoform UNG2
NM_080912	ASGR2	asialoglycoprotein receptor 2 isoform a
NM_080913	ASGR2	asialoglycoprotein receptor 2 isoform b
NM_080914	ASGR2	asialoglycoprotein receptor 2 isoform c
NM_080916	DGUOK	deoxyguanosine kinase isoform a precursor
NM_080918	DGUOK	deoxyguanosine kinase isoform b precursor
NM_016567	BCCIP	BRCA2 and CDKN1A-interacting protein isoform
NM_021149	COTL1	coactosin-like 1
NM_021153	CDH19	cadherin 19, type 2 preproprotein
NM_021154	PSAT1	phosphoserine aminotransferase isoform 2
NM_021090	MTMR3	myotubularin-related protein 3 isoform c
NM_021161	KCNK10	potassium channel, subfamily K, member 10
NM_021163	RBAK	RB-associated KRAB repressor
NM_021186	ZP4	zona pellucida glycoprotein 4 preproprotein
NM_020983	ADCY6	adenylate cyclase 6 isoform b
NM_020984	CHAT	choline acetyltransferase isoform 1
NM_020985	CHAT	choline acetyltransferase isoform 1
NM_020986	CHAT	choline acetyltransferase isoform 1
NM_020987	ANK3	ankyrin 3 isoform 1
NM_012326	MAPRE3	microtubule-associated protein, RP/EB family,
NM_016592	GNAS	guanine nucleotide binding protein, alpha
NM_016654	GABPB2	GA binding protein transcription factor, beta
NM_021014	SSX3	synovial sarcoma, X breakpoint 3 isoform a
NM_020979	APS	adaptor protein with pleckstrin homology and src
NM_002041	GABPB2	GA binding protein transcription factor, beta
NM_016655	GABPB2	GA binding protein transcription factor, beta
NM_021013	KRTHA4	type I hair keratin 4
NM_021049	MAGEA5	melanoma antigen family A, 5
NM_021019	MYL6	smooth muscle and non-muscle myosin alkali light
NM_021003	PPM1A	protein phosphatase 1A isoform 1
NM_021133	RNASEL	ribonuclease L
NM_021134	MRPL23	mitochondrial ribosomal protein L23
NM_021021	SNTB1	basic beta 1 syntrophin
NM_021018	HIST1H3F	H3 histone family, member I
NM_021058	HIST1H2BJ	H2B histone family, member R
NM_016657	KDELR3	KDEL receptor 3 isoform b
NM_021062	HIST1H2BB	H2B histone family, member F
NM_080921	PTPRC	protein tyrosine phosphatase, receptor type, C
NM_080922	PTPRC	protein tyrosine phosphatase, receptor type, C
NM_080923	PTPRC	protein tyrosine phosphatase, receptor type, C
NM_080926	LOC96610	hypothetical protein LOC96610
NM_006442	DRAP1	DR1-associated protein 1
NM_016724	FOLR1	folate receptor 1 precursor
NM_016725	FOLR1	folate receptor 1 precursor
NM_020996	FGF6	fibroblast growth factor 6 precursor
NM_021032	FGF12	fibroblast growth factor 12 isoform 1
NM_021052	HIST1H2AE	H2A histone family, member A
NM_021065	HIST1H2AD	histone 1, H2ad
NM_021063	HIST1H2BD	H2B histone family, member B
NM_016729	FOLR1	folate receptor 1 precursor
NM_016730	FOLR1	folate receptor 1 precursor
