MYO9B	NM_001130065	myosin IXB isoform 2
PTPRD	NM_002839	protein tyrosine phosphatase, receptor type, D
DCUN1D5	NM_032299	DCN1, defective in cullin neddylation 1, domain
EXOC4	NM_021807	SEC8 protein isoform a
RIPK2	NM_003821	receptor-interacting serine-threonine kinase 2
C1orf142	NM_053052	chromosome 1 open reading frame 142
SLFN12	NM_018042	schlafen family member 12
CAPRIN1	NM_005898	membrane component chromosome 11 surface marker
NRTN	NM_004558	neurturin preproprotein
CXorf34	NM_024917	hypothetical protein LOC79979
MAN1C1	NM_020379	mannosidase, alpha, class 1C, member 1
VAMP5	NM_006634	vesicle-associated membrane protein 5
CCDC115	NM_032357	coiled-coil domain containing 115
KLK6	NM_001012965	kallikrein-related peptidase 6 isoform B
RXFP1	NM_021634	relaxin/insulin-like family peptide receptor 1
ALKBH6	NM_198867	alkB, alkylation repair homolog 6 isoform 1
TYROBP	NM_003332	TYRO protein tyrosine kinase binding protein
PBLD	NM_022129	MAWD binding protein isoform a
MAGED4B	NM_030801	melanoma antigen family D, 4B isoform 1
POGK	NM_017542	pogo transposable element with KRAB domain
FGF4	NM_002007	fibroblast growth factor 4 precursor
ZNF789	NM_001013258	zinc finger protein 789 isoform 2
LRRC20	NM_207119	leucine rich repeat containing 20 isoform 1
MAST3	NM_015016	microtubule associated serine/threonine kinase
DRG1	NM_004147	developmentally regulated GTP binding protein 1
FAM75A2	NM_001040065	hypothetical protein LOC642265
OR2A1	NM_001005287	olfactory receptor, family 2, subfamily A,
USP46	NM_022832	ubiquitin specific peptidase 46
MYL4	NM_002476	atrial/embryonic alkali myosin light chain
UTP3	NM_020368	UTP3, small subunit
KTN1	NM_001079521	kinectin 1 isoform a
MED12L	NM_053002	mediator of RNA polymerase II transcription,
NIN	NM_016350	ninein isoform 4
CHD3	NM_001005273	chromodomain helicase DNA binding protein 3
ITGA4	NM_000885	integrin alpha 4 precursor
USH1C	NM_005709	harmonin isoform a
ARF4	NM_001660	ADP-ribosylation factor 4
C1orf69	NM_001010867	hypothetical protein LOC200205
C16orf65	NM_173806	hypothetical protein LOC255762
TMEM79	NM_032323	transmembrane protein 79
OR13C9	NM_001001956	olfactory receptor, family 13, subfamily C,
SLC22A4	NM_003059	solute carrier family 22 member 4
DTX2	NM_001102596	deltex 2 isoform b
METTL8	NM_024770	methyltransferase like 8
MMP11	NM_005940	matrix metalloproteinase 11 preproprotein
KCNQ2	NM_172109	potassium voltage-gated channel KQT-like protein
HSPB1	NM_001540	heat shock 27kDa protein 1
SYNE2	NM_182914	spectrin repeat containing, nuclear envelope 2
GBE1	NM_000158	glucan (1,4-alpha-), branching enzyme 1
HK1	NM_033497	hexokinase 1 isoform HKI-ta/tb
CKLF	NM_001040138	chemokine-like factor isoform e
SPIN2B	NM_001006681	spindlin-like protein 2
GDPD3	NM_024307	glycerophosphodiester phosphodiesterase domain
PLEKHO2	NM_025201	pleckstrin homology domain containing, family O
C5orf38	NM_178569	hypothetical protein LOC153571
WDR21A	NM_181341	WD repeat domain 21A isoform 3
SGSM3	NM_015705	RUN and TBC1 domain containing 3
SNAP23	NM_003825	synaptosomal-associated protein 23 isoform
SFRS15	NM_020706	splicing factor, arginine/serine-rich 15
HCFC1R1	NM_001002017	host cell factor C1 regulator 1 (XPO1 dependant)
KCNK7	NM_033455	potassium channel, subfamily K, member 7 isoform
CAMSAP1	NM_015447	calmodulin regulated spectrin-associated protein
SPARCL1	NM_004684	SPARC-like 1
SUV420H1	NM_016028	suppressor of variegation 4-20 homolog 1 isoform
SOX8	NM_014587	SRY (sex determining region Y)-box 8
HRH1	NM_001098211	histamine receptor H1
TMED9	NM_017510	transmembrane emp24 protein transport domain
C12orf44	NM_001098673	hypothetical protein LOC60673
GABRQ	NM_018558	gamma-aminobutyric acid (GABA) receptor, theta
FABP4	NM_001442	fatty acid binding protein 4, adipocyte
C5orf44	NM_024941	hypothetical protein LOC80006 isoform 2
PRIMA1	NM_178013	proline rich membrane anchor 1
LRRK1	NM_024652	leucine-rich repeat kinase 1
ART1	NM_004314	ADP-ribosyltransferase 1
C9orf79	NM_178828	chromosome 9 open reading frame 79
CFC1	NM_032545	cryptic
DAZ1	NM_004081	deleted in azoospermia
C4orf40	NM_214711	hypothetical protein LOC401137
LST1	NM_007161	leukocyte specific transcript 1 isoform 1
KLRC4	NM_013431	killer cell lectin-like receptor subfamily C,
ALDH3A1	NM_000691	aldehyde dehydrogenase 3 family, member A1
NFAT5	NM_006599	nuclear factor of activated T-cells 5 isoform c
KCNU1	NM_001031836	potassium channel, subfamily U, member 1
FAM19A4	NM_001005527	family with sequence similarity 19 (chemokine
PCDH11X	NM_032969	protocadherin 11 X-linked isoform d
FST	NM_013409	follistatin isoform FST344 precursor
FAM26D	NM_153036	hypothetical protein LOC221301
FNDC7	NM_173532	fibronectin type III domain containing 7
SIRPA	NM_001040022	signal-regulatory protein alpha precursor
ARL6IP4	NM_001002252	SRp25 nuclear protein isoform 4
TSG101	NM_006292	tumor susceptibility gene 101
C9orf135	NM_001010940	hypothetical protein LOC138255
LUZP2	NM_001009909	leucine zipper protein 2
MAGEB3	NM_002365	melanoma antigen family B, 3
ABI2	NM_005759	abl interactor 2
SLC44A3	NM_152369	solute carrier family 44, member 3 isoform 2
SDK1	NM_001079653	sidekick 1 isoform 2
IL17RC	NM_032732	interleukin 17 receptor C isoform 3 precursor
PRAGMIN	NM_001080826	pragmin
ANK1	NM_020480	ankyrin 1 isoform 7
EMB	NM_198449	embigin homolog
ACOT8	NM_005469	peroxisomal acyl-CoA thioesterase 1 isoform a
ARHGAP8	NM_001017526	Rho GTPase activating protein 8 isoform 1
CCDC114	NM_144577	coiled-coil domain containing 114
GNPTAB	NM_024312	N-acetylglucosamine-1-phosphate transferase
TTC9B	NM_152479	tetratricopeptide repeat domain 9B
MAPK8IP3	NM_015133	mitogen-activated protein kinase 8 interacting
MGC33894	NM_152914	transcript expressed during hematopoiesis 2
MOBKL3	NM_015387	Mps One Binder kinase activator-like 3 isoform
DTNA	NM_001392	dystrobrevin alpha isoform 7
ARNTL	NM_001030273	aryl hydrocarbon receptor nuclear
COPZ1	NM_016057	coatomer protein complex, subunit zeta 1
NAGPA	NM_016256	N-acetylglucosamine-1-phosphodiester
GBA	NM_000157	glucocerebrosidase precursor
MYH2	NM_001100112	myosin, heavy chain 2, skeletal muscle, adult
CPLX2	NM_006650	complexin 2
ABCC9	NM_020297	ATP-binding cassette, sub-family C, member 9
CTSG	NM_001911	cathepsin G preproprotein
SCML1	NM_001037536	sex comb on midleg-like 1 isoform c
PSMA7	NM_002792	proteasome alpha 7 subunit
ATXN7L1	NM_152749	ataxin 7-like 1 isoform 2
GLDN	NM_181789	gliomedin
OR51A2	NM_001004748	olfactory receptor, family 51, subfamily A,
SNRPG	NM_003096	small nuclear ribonucleoprotein polypeptide G
CLEC5A	NM_013252	C-type lectin, superfamily member 5
TREX1	NM_016381	three prime repair exonuclease 1 isoform a
C5orf28	NM_022483	hypothetical protein LOC64417
TP53BP2	NM_001031685	tumor protein p53 binding protein, 2 isoform 1
GCNT1	NM_001097633	beta-1,3-galactosyl-O-glycosyl-glycoprotein
MORC1	NM_014429	MORC family CW-type zinc finger 1
FAM162A	NM_014367	growth and transformation-dependent protein
USP5	NM_003481	ubiquitin specific peptidase 5 isoform 2
EPHA6	NM_001080448	EPH receptor A6 isoform a
UBXD8	NM_014613	UBX domain containing 8
CCNC	NM_005190	cyclin C isoform a
MAD1L1	NM_001013836	MAD1-like 1 protein
SEC23A	NM_006364	SEC23-related protein A
GPM6B	NM_005278	glycoprotein M6B isoform 3
PRPS2	NM_002765	phosphoribosyl pyrophosphate synthetase 2
MT3	NM_005954	metallothionein 3
MYH10	NM_005964	myosin, heavy polypeptide 10, non-muscle
BRCA1	NM_007303	breast cancer 1, early onset isoform
CD36	NM_000072	CD36 antigen
ZNF187	NM_001111039	zinc finger protein 187 isoform b
BBS7	NM_176824	Bardet-Biedl syndrome 7 protein isoform a
AQP12B	NM_001102467	aquaporin 12B
GDF3	NM_020634	growth differentiation factor 3 precursor
GFI1B	NM_004188	growth factor independent 1B transcription
GPR32	NM_001506	G protein-coupled receptor 32
CELSR1	NM_014246	cadherin EGF LAG seven-pass G-type receptor 1
CBL	NM_005188	Cas-Br-M (murine) ecotropic retroviral
DEFB119	NM_153323	defensin, beta 119 isoform c precursor
LOC389151	NM_001013650	hypothetical protein LOC389151
ITIH4	NM_002218	inter-alpha (globulin) inhibitor H4
RFXDC1	NM_173560	regulatory factor X domain containing 1
LIMCH1	NM_001112718	LIM and calponin homology domains 1 isoform c
PRKCSH	NM_001001329	protein kinase C substrate 80K-H isoform 2
BRI3	NM_015379	brain protein I3
GARNL1	NM_194301	GTPase activating Rap/RanGAP domain-like 1
PTPRF	NM_002840	protein tyrosine phosphatase, receptor type, F
CSE1L	NM_001316	CSE1 chromosome segregation 1-like protein
TRIM56	NM_030961	tripartite motif-containing 56
CASP3	NM_032991	caspase 3 preproprotein
NLRP1	NM_033004	NLR family, pyrin domain containing 1 isoform 1
SNAPC4	NM_003086	small nuclear RNA activating complex,
CCDC135	NM_032269	coiled-coil domain containing 135
BZRPL1	NM_001010873	benzodiazapine receptor (peripheral)-like 1
IFNA4	NM_021068	interferon, alpha 4
SEC16B	NM_033127	leucine zipper transcription regulator 2
CXorf38	NM_144970	hypothetical protein LOC159013
XKRY2	NM_001002906	XK, Kell blood group complex subunit-related,
TCF7	NM_201633	transcription factor 7 (T-cell specific,
SERTAD2	NM_014755	SERTA domain containing 2
UGT3A2	NM_174914	UDP glycosyltransferase 3 family, polypeptide
LRRC47	NM_020710	leucine rich repeat containing 47
COX6B1	NM_001863	cytochrome c oxidase subunit VIb
C14orf94	NM_017815	hypothetical protein LOC54930
HMG2L1	NM_014250	high-mobility group protein 2-like 1 isoform a
MESP2	NM_001039958	mesoderm posterior 2 homolog
HSFY2	NM_153716	heat shock transcription factor, Y linked 2
PEA15	NM_003768	phosphoprotein enriched in astrocytes 15
CRAMP1L	NM_020825	Crm, cramped-like
AGXT	NM_000030	alanine-glyoxylate aminotransferase
STAMBP	NM_201647	STAM binding protein
CALY	NM_015722	dopamine receptor D1 interacting protein
SSX3	NM_175711	synovial sarcoma, X breakpoint 3 isoform b
GFRA4	NM_145762	GDNF family receptor alpha 4 isoform b
ISLR	NM_201526	immunoglobulin superfamily containing
DLD	NM_000108	dihydrolipoamide dehydrogenase precursor
STAU1	NM_017454	staufen isoform a
KCNV1	NM_014379	potassium channel, subfamily V, member 1
PSMA1	NM_148976	proteasome alpha 1 subunit isoform 1
OR51V1	NM_001004760	olfactory receptor, family 51, subfamily V,
GPR171	NM_013308	G protein-coupled receptor 171
APLP1	NM_001024807	amyloid precursor-like protein 1 isoform 1
CD46	NM_172356	CD46 antigen, complement regulatory protein
CD207	NM_015717	CD207 antigen, langerin
KIAA1409	NM_020818	hypothetical protein LOC57578
CRP	NM_000567	C-reactive protein, pentraxin-related
CCDC110	NM_152775	coiled-coil domain containing 110
DNM1	NM_004408	dynamin 1 isoform 1
FAM158A	NM_016049	hypothetical protein LOC51016
LOC401399	NM_001114726	hypothetical protein LOC401399
GPR75	NM_006794	G protein-coupled receptor 75
GPR115	NM_153838	G-protein coupled receptor 115
NUF2	NM_145697	NUF2, NDC80 kinetochore complex component
DEPDC2	NM_025170	DEP domain containing 2 isoform b
GPBAR1	NM_001077194	G protein-coupled bile acid receptor 1
FAM131C	NM_182623	hypothetical protein LOC348487
CHRNA6	NM_004198	cholinergic receptor, nicotinic, alpha 6
PSMD9	NM_002813	proteasome 26S non-ATPase subunit 9
LRRC8D	NM_018103	leucine rich repeat containing 8 family, member
IL1R2	NM_173343	interleukin 1 receptor, type II precursor
SLC27A3	NM_024330	solute carrier family 27 member 3
KIAA1324	NM_020775	hypothetical protein LOC57535
ABCF2	NM_005692	ATP-binding cassette, sub-family F, member 2
SMAD1	NM_005900	Sma- and Mad-related protein 1
TCF21	NM_003206	transcription factor 21
OR5AU1	NM_001004731	olfactory receptor, family 5, subfamily AU,
KCNH2	NM_172056	voltage-gated potassium channel, subfamily H,
PALM	NM_002579	paralemmin isoform 1
PROX1	NM_002763	prospero homeobox 1
FAR2	NM_018099	fatty acyl CoA reductase 2
UTS2R	NM_018949	urotensin 2 receptor
POLQ	NM_199420	DNA polymerase theta
KIN	NM_012311	HsKin17 protein
MEN1	NM_130799	menin isoform 2
ATPIF1	NM_178191	ATPase inhibitory factor 1 isoform 3 precursor
UNG	NM_080911	uracil-DNA glycosylase isoform UNG2
GRB2	NM_203506	growth factor receptor-bound protein 2 isoform
RNF208	NM_031297	ring finger protein 208
CTPS	NM_001905	CTP synthase
DEDD	NM_032998	death effector domain-containing protein
KIAA0133	NM_014777	hypothetical protein LOC9816
C13orf30	NM_182508	hypothetical protein LOC144809
VTI1A	NM_145206	SNARE Vti1a-beta protein isoform b
C8orf59	NM_001099670	hypothetical protein LOC401466
PPP2CB	NM_004156	protein phosphatase 2, catalytic subunit, beta
PRSSL1	NM_214710	protease, serine-like 1
CETN2	NM_004344	caltractin
EPHX1	NM_000120	epoxide hydrolase 1, microsomal (xenobiotic)
SPRY3	NM_005840	sprouty homolog 3
CAMK1D	NM_020397	calcium/calmodulin-dependent protein kinase ID
C11orf46	NM_152316	hypothetical protein LOC120534
VSIG8	NM_001013661	V-set and immunoglobulin domain containing 8
PKN3	NM_013355	protein kinase PKNbeta
GNPDA1	NM_005471	glucosamine-6-phosphate deaminase 1
RAB33B	NM_031296	RAB33B, member RAS oncogene family
NHLH2	NM_001111061	nescient helix loop helix 2
KRT13	NM_002274	keratin 13 isoform b
FAM122B	NM_145284	hypothetical protein LOC159090
MRRF	NM_199177	mitochondrial ribosome recycling factor isoform
ZNF141	NM_003441	zinc finger protein 141
ABI3BP	NM_015429	ABI gene family, member 3 (NESH) binding
ZBTB1	NM_014950	zinc finger and BTB domain containing 1 isoform
SPATS2	NM_023071	spermatogenesis associated, serine-rich 2
FLJ13137	NM_001085375	hypothetical protein LOC400793
TROVE2	NM_004600	TROVE domain family, member 2 isoform 2
CYorf15A	NM_001005852	hypothetical protein LOC246126
CCBL2	NM_001008662	kynurenine aminotransferase III isoform 2
DMC1	NM_007068	DMC1 dosage suppressor of mck1 homolog
CDH26	NM_177980	cadherin-like 26 isoform a
KIR2DL2	NM_014219	killer cell immunoglobulin-like receptor, two
PATZ1	NM_014323	POZ (BTB) and AT hook containing zinc finger 1
MS4A6E	NM_139249	membrane-spanning 4-domains, subfamily A, member
DYNC1H1	NM_001376	dynein, cytoplasmic, heavy polypeptide 1
LHCGR	NM_000233	luteinizing hormone/choriogonadotropin receptor
ACP5	NM_001111034	tartrate resistant acid phosphatase 5 precursor
GPR44	NM_004778	G protein-coupled receptor 44
NUDT1	NM_198949	nudix-type motif 1 isoform p22
SPINT1	NM_181642	serine peptidase inhibitor, Kunitz type 1
ARHGAP17	NM_001006634	nadrin isoform 1
KCNH5	NM_172375	potassium voltage-gated channel, subfamily H,
ASXL1	NM_015338	additional sex combs like 1
HIST1H2BK	NM_080593	histone cluster 1, H2bk
SETMAR	NM_006515	SET domain and mariner transposase fusion
FOXM1	NM_202002	forkhead box M1 isoform 1
UTRN	NM_007124	utrophin
SPAG16	NM_001025436	sperm associated antigen 16 isoform 2
RAC3	NM_005052	ras-related C3 botulinum toxin substrate 3 (rho
SPIN3	NM_001010862	spindlin family, member 3
FAM76B	NM_144664	hypothetical protein LOC143684
ZFP91-CNTF	NM_170768	zinc finger protein 91 homolog (mouse), ciliary
GFRA3	NM_001496	GDNF family receptor alpha 3 preproprotein
DYX1C1	NM_001033560	dyslexia susceptibility 1 candidate 1 isoform c
COQ10B	NM_025147	coenzyme Q10 homolog B
C9orf114	NM_016390	hypothetical protein LOC51490
OPA3	NM_001017989	OPA3 protein isoform a
HFE	NM_139004	hemochromatosis protein isoform 4 precursor
CPNE8	NM_153634	copine VIII
PMEPA1	NM_199171	transmembrane prostate androgen-induced protein
CENTB1	NM_014716	centaurin beta1
PPM1G	NM_002707	protein phosphatase 1G
INSL5	NM_005478	insulin-like 5 precursor
HKR1	NM_181786	GLI-Kruppel family member HKR1
RPL6	NM_000970	ribosomal protein L6
C14orf73	NM_001077594	hypothetical protein LOC91828
C15orf57	NM_052849	coiled-coil domain containing 32 isoform a
SGPL1	NM_003901	sphingosine-1-phosphate lyase 1
NAT10	NM_024662	N-acetyltransferase 10
KIF23	NM_004856	kinesin family member 23 isoform 2
PLAC4	NM_182832	placenta-specific 4
TMEM44	NM_138399	transmembrane protein 44 isoform a
DHRS13	NM_144683	dehydrogenase/reductase (SDR family) member 13
SLC27A2	NM_003645	solute carrier family 27 (fatty acid
RTN2	NM_206900	reticulon 2 isoform B
OR6T1	NM_001005187	olfactory receptor, family 6, subfamily T,
MRAS	NM_001085049	muscle RAS oncogene homolog
CCNI	NM_006835	cyclin I
HSPC111	NM_016391	hypothetical protein LOC51491
SDR-O	NM_148897	orphan short-chain dehydrogenase / reductase
ITGA6	NM_000210	integrin alpha chain, alpha 6 isoform b
FRK	NM_002031	fyn-related kinase
CD40	NM_001250	CD40 antigen isoform 1 precursor
PDZD4	NM_032512	PDZ domain containing 4
SLCO1A2	NM_134431	organic anion transporting polypeptide A isoform
ILK	NM_001014795	integrin-linked kinase
ZNF613	NM_001031721	zinc finger protein 613 isoform 1
SLC2A5	NM_003039	solute carrier family 2 (facilitated
IMPAD1	NM_017813	inositol monophosphatase domain containing 1
FCHO1	NM_015122	FCH domain only 1
OGG1	NM_002542	8-oxoguanine DNA glycosylase isoform 1a
DZIP3	NM_014648	DAZ interacting protein 3, zinc finger
ZNF761	NM_001008401	zinc finger protein 761
SESN3	NM_144665	sestrin 3
C14orf39	NM_174978	hypothetical protein LOC317761
S100A12	NM_005621	S100 calcium-binding protein A12
TXNDC16	NM_020784	thioredoxin domain containing 16
CGREF1	NM_006569	cell growth regulator with EF-hand domain 1
MFAP4	NM_002404	microfibrillar-associated protein 4
CMTM3	NM_181554	chemokine-like factor superfamily 3
CCK	NM_000729	cholecystokinin preproprotein
PBK	NM_018492	PDZ binding kinase
A1CF	NM_138933	apobec-1 complementation factor isoform 3
DYNLL1	NM_003746	dynein light chain 1
GRK6	NM_002082	G protein-coupled receptor kinase 6 isoform B
CLUL1	NM_199167	clusterin-like 1 (retinal)
OPN4	NM_033282	opsin 4 isoform 1
SOBP	NM_018013	sine oculis binding protein homolog
PPAPDC1B	NM_032483	phosphatidic acid phosphatase type 2 domain
GARNL4	NM_015085	GTPase activating Rap/RanGAP domain-like 4
POU2F3	NM_014352	POU transcription factor
COL13A1	NM_080802	alpha 1 type XIII collagen isoform 6
PDE9A	NM_001001579	phosphodiesterase 9A isoform g
SIRT7	NM_016538	sirtuin 7
TOB1	NM_005749	transducer of ERBB2, 1
RFK	NM_018339	riboflavin kinase
LRRTM3	NM_178011	leucine rich repeat transmembrane neuronal 3
CAPN10	NM_023089	calpain 10 isoform g
LOC145814	NM_001102612	hypothetical protein LOC145814
DCTN4	NM_016221	dynactin 4 (p62)
SPHKAP	NM_030623	sphingosine kinase type 1-interacting protein
PEG10	NM_001040152	paternally expressed 10 isoform RF1
HOXB3	NM_002146	homeobox B3
LILRB1	NM_006669	leukocyte immunoglobulin-like receptor,
PRAME	NM_006115	preferentially expressed antigen in melanoma
PIGY	NM_001042616	phosphatidylinositol glycan anchor biosynthesis,
KRT82	NM_033033	keratin 82
RFX2	NM_000635	regulatory factor X2 isoform a
OSCAR	NM_133168	osteoclast-associated receptor isoform 5
PRAMEF10	NM_001039361	PRAME family member 10
ZNF577	NM_032679	zinc finger protein 577
FOXP3	NM_014009	forkhead box P3 isoform a
AKR1B10	NM_020299	aldo-keto reductase family 1, member B10
DLG3	NM_021120	synapse-associated protein 102 isoform a
CPLX4	NM_181654	complexin 4
WSB2	NM_018639	WD SOCS-box protein 2
ABCC3	NM_003786	ATP-binding cassette, sub-family C, member 3
TPD52L1	NM_001003395	tumor protein D52-like 1 isoform 2
NUPL1	NM_001008564	nucleoporin like 1 isoform b
TERT	NM_198253	telomerase reverse transcriptase isoform 1
NOMO2	NM_001004060	nodal modulator 2 isoform 1
THBS3	NM_007112	thrombospondin 3 precursor
UBQLN2	NM_013444	ubiquilin 2
RARB	NM_000965	retinoic acid receptor, beta isoform 1
SMAD5	NM_005903	SMAD, mothers against DPP homolog 5
TRIM5	NM_033092	tripartite motif protein TRIM5 isoform gamma
MBP	NM_001025090	myelin basic protein isoform 3
TMEM175	NM_032326	transmembrane protein 175
OR13C2	NM_001004481	olfactory receptor, family 13, subfamily C,
